filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
285.txt,0.3854389721627409,0.0253852097633091,0.09169618260550964,0.17829813284297522,0.041474654377741935,0.07407407407407407,0.05590062111782608,0.2666666666665067,0.020408163265285714,0.06666666666666667,0.285714285714,0.03571428571433333,0.166666666667,0.08333333333333333,0.6936936936969881
286.txt,0.30406852248394006,0.024260260897225733,0.09767092411735538,0.10743801652892562,0.06720430107516129,0.09427609427592593,0.09881422924913044,0.48000000000019205,0.06493506493507142,0.061111111111133334,0.454545454545,0.0757575757575,0.2,0.05303030303041667,0.24972972973020224
287.txt,0.13062098501070663,0.018533248488698816,0.05234159779614325,0.0981404958677686,0.06451612903225806,0.05246913580259259,0.05797101449260869,0.07500000000003,0.00595238095237857,0.1,0.166666666667,0.013888888888883332,0.0625,0.04513888888874999,0.3623310810817666
288.txt,0.4068522483940043,0.014351022321915461,0.06375442739063361,0.11541749786267218,0.04923599320870967,0.07407407407407407,0.0600414078673913,0.372413793103349,0.03061224489792857,0.07368421052600001,0.333333333333,0.015873015873016667,0.0689655172414,0.06746031746041667,0.5228331780050433
289.txt,0.2248394004282655,0.12853961183591556,0.0791384923614325,0.10363373999738291,0.22580645161290322,0.08080808080814815,0.08300395256913043,0.39999999999976005,0.04545454545457142,0.24444444444466665,0.363636363636,0.060606060605999997,0.190476190476,0.06818181818166666,0.3822393822401691
29.txt,0.815845824411135,0.0369074132994848,0.09564738292011019,0.13284358738898072,0.06912442396322581,0.10222222222222221,0.0782608695652174,0.5333333333330134,0.05714285714285714,0.07936507936533334,0.56,0.07333333333333333,0.244444444444,0.11166666666666666,0.6639639639657157
290.txt,0.08137044967880085,0.0645879732738407,0.1671258034892562,0.08356290174476584,0.16129032258064516,0.20987654321,0.21739130434782608,0.560000000000624,0.16666666666642857,0.06666666666666667,0.666666666667,0.11111111111116667,0.133333333333,0.11111111111125,0.2378378378381392
292.txt,0.21627408993576014,0.026726057906420794,0.08484848484848485,0.11784511784517906,0.06451612903225806,0.0962962962962963,0.0782608695652174,0.46666666666698664,0.049999999999999996,0.074074074074,0.6,0.06666666666666667,0.222222222222,0.029166666666666664,0.17342342342380107
293.txt,0.46466809421841543,0.020680878141896408,0.07829491083085399,0.11621900826446281,0.057347670250967736,0.08187134502925926,0.07322654462260869,0.487500000000195,0.04887218045114285,0.07037037037066667,0.578947368421,0.03508771929816666,0.125,0.06359649122791666,0.40413851351427815
30.txt,0.5995717344753748,0.07308304167991773,0.0833959429002755,0.09971254042396695,0.14838709677419354,0.08754208754222222,0.09090909090913042,0.4956521739133983,0.061688311688285716,0.14666666666666667,0.5,0.04545454545449999,0.130434782609,0.054924242424166665,0.2811398354883292
